reactant_000,reactant_001
C=CC(=O)Cl,Cc1ccc(C)cc1
II,OCc1ncc2ccc(F)cn12
CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C1CCC(=O)N1O
Brc1cnc2[nH]ccc2c1,CC(C)[Si](Cl)(C(C)C)C(C)C
O=S(=O)(O)O,O=[N+]([O-])c1ccc(F)c(F)c1F
CC#CC(C)O,Fc1cccc(-c2cc(Cl)ncn2)c1F
CCOC(=O)C(Cl)OCC,COc1c[nH]c(=O)cc1-c1cc(Cl)ccc1C#N
CC(C)(C)OC(=O)N[C@H]1CC[C@H](C=O)CC1,CCCS(=O)(=O)c1nnnn1-c1ccccc1
CC(C)(C)OC(=O)N1CCC(N)C(C)(C)C1,O=C(Cl)OCc1ccccc1
COC(=O)C(C)(C)N,O=C(Cl)CCl
CCO,O=C([O-])c1ccccc1
COC(=O)[C@@]1(N)CC[C@@H](c2ccc(Br)cc2)C1,O=C(OCc1ccccc1)ON1C(=O)CCC1=O
COC[C@H](C)Oc1cc(O)cc(-c2ccc(C3=N[C@H]([C@H](C)O)CO3)[nH]2)c1,CS(=O)(=O)c1cnc(Cl)cn1
N#Cc1ccc(Br)c(F)c1,O=S(=O)(O)O
BrCc1ccccc1,CSc1nc2ccnn2c(O)c1C#N
CC(C)(C)O,Oc1ccccc1C(F)(F)F
O=C(O)[C@@H]1C[C@@H](O)CN1,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O
CN(C)C=O,Oc1ccc(Br)cc1OC1CCC1
COc1cc(N)ccc1Cl,O=C(N=C=S)c1ccccc1
CCCCOC(=O)N1CCN(C(=O)CNC(=O)c2nc(-c3ccccc3)sc2NCCC(=O)O)CC1,CCO
O=[N+]([O-])c1ccc(Cl)cc1F,Sc1ccncc1
CCCCCCOC(=O)C(=O)c1cc(O)c(O)c([N+](=O)[O-])c1,NNC(N)=S
CC(N)=O,Clc1nccc2c(Br)cccc12
O=C(Nc1ccc(O)cc1F)OCc1ccccc1,O=[N+]([O-])c1ccc(Cl)cn1
COc1ccc(OC)c(N=C=S)c1,[N-]=[N+]=[N-]
CCC(=O)C(O)c1ccc(N2CCOCC2)cc1,Cc1ccc(CBr)cc1
CC(C)c1nc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cs1,CCOC(=O)Cc1ccc(-c2nc(COc3ccc(COc4nn(-c5ccccc5)cc4C=O)cc3OC)c(C)o2)cc1
C1CCOC1,Nc1cc(Cl)ncc1C=O
NO,O=C1CCOc2cc(Br)ccc21
O=[N+]([O-])[O-],Oc1ccccc1Br
CC(C)(O)[C@@H](N)c1ccccc1,N#C[O-]
FC(F)(F)c1ccc(Cl)nc1,NCCc1ccc(O)cc1
NCc1ccccc1,O=C(O)c1ccc2[nH]ccc2c1
CC(C)(C)Nc1ccc(-c2cnc(N)nc2)cc1N,O=Cc1ccccc1-c1nccs1
CCn1c(=O)c2[nH]cnc2n(C)c1=O,O=C(c1ccc(Cl)cc1)c1ccc(CBr)cc1
CCOCc1nc(N)c(N=O)c(=O)[nH]1,O=CC=O
CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](CC(=O)N(C)C1CCCCC1)Cc1ccccc1,[OH-]
C=CCCO,CC(Cl)C(=O)O
CNS(=O)(=O)N1CCN(c2ncnc3c2ccn3C(=O)OC(C)(C)C)CC12CC2,COC(=O)CCl
N,[O-][n+]1ccc2ccsc2c1
CCI,COc1cc2ncnc(Oc3ccc(NC(=O)OCc4ccccc4Cl)c(Cl)c3)c2cc1OC
CC1(C)OC[C@](C)(C=O)O1,NO
COC(=O)C(N)Cc1ccc(Cl)c(Cl)c1,O=C(O)c1ccc(I)cc1[N+](=O)[O-]
CC1(C)CC(=C(c2ccccc2)c2ccc(OCC(=O)O)cc2)CC(C)(C)C1,[NH4+]
BrBr,Cc1cccnc1C
COC(CCBr)OC,O=c1[nH]cc(-c2cnsc2)c(=O)[nH]1
CC(Cl)c1ccsc1,[N-]=[N+]=[N-]
C1COCCN1,CC(C)(C)OC(=O)Nc1nc(-c2ccco2)c(C=O)s1
Fc1cccc(CCl)c1,Sc1nnc(-c2ccc3c(c2)CCO3)o1
COC(=O)CBr,OCCN1CCCCc2c(O)cccc21
C#CCO,FC(F)(F)CS
CON=C1CCN(C(=N)CCl)C1,[O-]P([O-])([O-])=S
ClCC=Cc1ccccc1,Nc1ccccc1N
CC(=O)O[BH-](OC(C)=O)OC(C)=O,O=C1c2ccccc2-c2ccc(N3C[C@@H]4CN[C@@H]4C3)cc21
O=[N+]([O-])O,Oc1cncc(Cl)c1
CC(C)OC(C)C,COC(OC)C(C)=CCBr
CC(=O)c1cccc(O)c1,CC(C)(C)OC(=O)N1CCC(O)CC1
COc1cc(N)ccc1-c1cnc(C)s1,O=C(N=C=S)c1ccccc1
CC1CCCN(C(=N)N)C1,Cc1occc1C(=O)C(=CN(C)C)c1ccncc1
CC(C)(C)[Si](C)(C)Cl,O=Cc1ccc(O)cc1
Cc1ccc(NCCCO)c(N)c1,N#C[O-]
COCCOc1ccc2ccc(-c3nnc4ccc([C@H](N5CC[C@](C)(NC(=O)OC(C)(C)C)C5)C(F)(F)F)cn34)nc2c1,[F-]
CC(C)[O-],CCCn1c(-c2ccnc(Nc3ccc(S(=O)(=O)NCCOCC)cc3)n2)cnc1CCl
COP(=O)(CC(=O)[O-])OC,N#Cc1c(Cl)c(C(F)(F)F)n(CBr)c1-c1ccc(Cl)cc1
C#CCNC1=NC(=O)S/C1=C\C1CCNCC1,FC(F)(F)c1cccc(CBr)c1
C=C(Cl)C#N,CCOC(=O)CN=[N+]=[N-]
C=CCON,O=CNc1nc(C(=O)C(=O)O)cs1
CI,Cc1[nH]c2ccc(OCCCl)cc2c1C(=O)OCc1ccccc1
NC(=O)c1ccccc1NC(=O)CCCl,c1ccc(-c2c[nH]cn2)cc1
COC(=O)c1cc(O)cc(C(=O)OC)c1,NC(=O)CCl
CN1CCC(O)CC1,OC(c1cccc(Br)c1)c1nc2cc(F)ccc2[nH]1
Clc1cc(Cl)nc(Cl)n1,FC(F)c1nc2ccccc2[nH]1
CI,O=C(c1ccccc1)N1CCc2c([nH]c3ccccc23)C1
CC(=O)c1ccc2c(c1)c1c(n2Cc2cccc(F)c2)CC[C@@H](NC(=O)C(C)C)C1,COC(OC)N(C)C
CN1CCNCC1,Clc1ccnc2c1CC1(CN3CCC1CC3)O2
C/N=C/c1cccc(Cl)c1,CC(C)(C)C/C=C(\C#N)c1ccc(Cl)cc1F
N#CCCCCl,ON=C1C[C@H]2CC=CC[C@H]2C1
CCI,Cc1ccc(O)cn1
CCOC(=O)COc1ccc(N)cc1,N#Cc1ccc2oc(C(=O)O)cc2c1
CC1(C)N=CC2=C3N=C(c4ccccc4)N=C3C(=O)CC2C1=O,CCN(CC)CCCBr
CC(C)=O,CCc1ccc(C=O)cc1
CC(C)(C)[Si](Cl)(c1ccccc1)c1ccccc1,CC1=CCCC1O
Clc1nn2c(-c3ccccc3)nnc2cc1N1CC=CCC1,Cn1ncnc1CO
Cc1c(C)c2c(c(C)c1N)CC(C)(CN1CCNCC1)O2,O=C(O)CCCc1ccccc1
CC(C)(C)c1cc(O)ccc1Br,CC(C)[Si](Cl)(C(C)C)C(C)C
N=C1CCCN1,O=C(CBr)c1ccc(F)cc1F
BrBr,Cc1ccc(C(=O)C(=O)O)s1
CC(=O)OC(C)=O,O=C(O)c1cc(O)c(O)c(O)c1
CCOC(=O)CC(C)=O,Nc1ccc(F)c(OCc2ccccc2)c1
NO,O=C1Nc2ccccc2C1=O
NCC(=O)c1ccsc1,O=C(Cl)c1ccc(F)cc1
O=Cc1cccc(B(O)O)c1,O=[Mn](=O)(=O)[O-]
CCOC(=O)c1cc[nH]c1C=O,CNN
CCCn1cncc1CCl,Cn1nc([N+](=O)[O-])nc1S
Cc1nc2cc(C(c3ccccc3)n3ccnc3)ccc2[nH]c1=O,NOS(=O)(=O)O
CCOC(=O)CCc1c[nH]nc1OCC,Cc1oc(-c2cccs2)nc1COc1ccc(CCl)cc1
CCOC(=O)COc1ccc(C(=O)c2ccnn2CC)c(Cl)c1Cl,[O-][Br+][O-]
CCNCC,O=C(CCl)Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1
COc1ncccc1N,O=C(Cl)OCc1ccccc1
Cc1oc(-c2ccccc2)nc1CCO,O=S(=O)(O)O
C1CCOC1,CC(C)C=Nn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2sccc21
CCOC(=O)Cl,CN(C)CCCC1c2ccccc2OC12CCCCCC2
CCOC(=O)C(=Cc1ccccc1)C(=O)CCl,NC(N)=S
CCCCCCI,O=C(NC1CCNCC1)C1c2ccccc2Oc2ccccc21
CCI,O=Cc1ccc2c(c1)OCO2
CC(C)(C)Nc1ccccc1,O=N[O-]
CNC,Cn1ncc(/C=C/C(=O)Nc2ccc(CC(=O)O)cc2)c1-c1ccc(F)cc1
O=C(O)c1ccccc1C(=O)c1ccccc1,OCC1CSCN1
COC(CN)OC,O=C(Cl)Oc1ccccc1
CC(C)(CO)NC(=O)c1nn(-c2cncc(Cl)n2)c2c1C[C@H]1C[C@@H]21,CO
C1COCCN1,O=C(O)COc1cccc(O)c1
CC(C)=O,CCOC(=O)C(=O)OCC
CC(C)(C)[Si](C)(C)Cl,OCc1ccc(-c2ccc(Br)cc2)cc1
CC(C)(C)OC(=O)CC(CCO)C(=O)N1C(=O)OC[C@@H]1Cc1ccccc1,CC(C)(C)[Si](Cl)(c1ccccc1)c1ccccc1
Cc1ccccc1-c1c(COS(C)(=O)=O)nc2cccc(C)n2c1=O,Sc1ncnc2[nH]cnc12
O=C(O)c1ccc(Cl)nc1,c1ccncc1
Cn1c2c(c3ccc(Br)cc31)C(=O)CCC2,NO
C,NC(=O)c1[nH]c2ccccc2c1-c1ccc([N+](=O)[O-])cc1
COC12CC3CC(C1)C(C(=O)O)(C3)C2,[N-]=[N+]=[N-]
NC(Cc1ccc(C(F)(F)F)cc1)C(O)c1ccc(F)cc1,O=C(O)c1cccc2cccnc12
CC(=O)O,Cc1c([N+](=O)[O-])ccc(N)c1N
CCCOc1ccc(C(CC(=O)O)N2C(=O)c3ccccc3C2=O)cc1,O=C(n1ccnc1)n1ccnc1
BrCc1ccccc1,N#Cc1cc(O)ccc1Br
C1COCOC1,CCCCCCC(O)CCC(C#N)[C@H]1CC[C@H](OC)CC1
CC(C)(C)OC(=O)N1CCC(c2nc(C(=O)O)cs2)CC1,OC1CCCCC1
CCOC=C(C(=O)OCC)C(=O)C(F)F,c1cn[nH]c1
CC1CN(C(=O)OCc2ccccc2)C12CCCNC2,Clc1ncnc2[nH]ccc12
CC(C)(C)OC(=O)N1CC(O)(c2ccccc2)C[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](Cc1cc(F)cc(F)c1)NC(=O)c1cccc(C(N)=O)c1,CCCO[C@@H]1C[C@H]([C@@H](O[Si](C)(C)C(C)(C)C)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(=O)N3CCC[C@@H]3COC)cc(-c3ncco3)c2)N(C(=O)OC(C)(C)C)C1
CI,Cc1c(C)c2c(c(C)c1NC(=O)CC(C)(C)C)C(c1ccc(C(C)C)cc1)CO2
C#CCN,Clc1ncc(Cl)c(Cl)n1
NC(Cc1ccc(C(F)(F)F)cc1)C(O)c1cccc2ccccc12,O=C(Cl)C1CCCCC1
CC(C)(C)[Si](C)(C)Cl,O=C(OCc1ccccc1)N1CCCC(CO)C1
COC(=O)c1cccc(CC#N)c1,ClCCOCCCl
Cn1c(-c2ccccc2C(F)(F)F)nnc1C(C)(C)Oc1ccc(C#N)cc1C(=O)O,NNC=O
CCOC(=O)C(CC(=O)c1ccccc1)C(=O)c1cccc2ccccc12,C[Si](C)(C)CCOC(=O)NN
CC(=O)C(=O)O,CC(C)Oc1cc(N2NC(C)(C)NC2=O)c(Cl)cc1Cl
COc1ccc2c3c(c(=O)oc2c1)CNCC3,O=[N+]([O-])O
CC(C)(c1ccccc1)n1nnc(-c2cc(C=O)ccc2-c2ccccc2)n1,CCO
CCOC(=O)CCCBr,c1ccc(-c2cn[nH]c2)cc1
C[C@H]1CN(C(=O)OC(C)(C)C)Cc2scc(Br)c2O1,OB(O)c1cccc(F)c1
ClCc1csc(-c2ccc(Cl)cc2)n1,N#Cc1c(N)nc(S)c(C#N)c1-c1csc(Br)n1
Cc1cc(OCc2c(F)cccc2F)c2nc(C)c(C(=O)NCC(C)(C)N)n2c1,O=S(=O)(OCC(F)(F)F)C(Cl)(Cl)Cl
O=C(O)c1ccc(C=CC(=O)c2ccccc2)cc1,OO
O=S(Cl)Cl,OCc1cn2ccc(Br)cc2n1
Cc1cc(C=O)ccc1C(=O)NCc1ccccn1,NO
COC(CC(OC)OC)OC,O=[N+]([O-])C(Br)(CO)CO
CC#N,CCC(C(=O)[O-])N1C(=O)N(Cc2ccc(OC)cc2)C(=O)C1(C)c1cc(F)cc(F)c1
Cc1cc(CO)ccn1,[C-]#N
CC(=O)Cl,CCOC(=O)Nc1cccc2c1NC1CCN(C(=O)OCC)CC21
COC(=O)C(Cl)Cl,Oc1ccccc1O
CC(C)(C)[O-],CON(C)C(=O)[C@@H]1C[C@H]1c1ccccn1
CNc1cc(Br)cc(C)c1N,O=N[O-]
CN(CCCl)[C@@H](CS)C(=O)O,O=C([O-])O
COC(=O)c1ccc(OCc2c(-c3ccccc3)noc2C(F)(F)F)nc1,NCC1CC1
O=C(CC1CCCCC1)c1ccc(O)cc1,O=C(Cl)c1cccnc1
CC(=O)Nc1ccc(CO)cc1,O=[N+]([O-])c1cc(Cl)cc([N+](=O)[O-])c1
CCOC=C(C(=O)OCC)C(=O)OCC,NNc1cccc2ccccc12
CC(C)(C)CC1CN(C(=O)Cl)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,COC(=O)c1ccc(O)cc1
CCOC(=O)Cl,O=C(O)CC1OB(O)c2cc(O)cc(Cl)c21
CCI,Cc1cscc1C(=O)O
C#CCOc1ccc2c(C)cc(=O)oc2c1C(C)=O,COc1cccc(C=O)c1
C=Cn1cnc2c(Cl)ncnc21,CN
CN1CCC(O)C1,OC(c1ccccc1)c1nc2ccccc2[nH]1
COC(=O)c1ccc(CCCc2ccc(N)cc2)cc1,N#CCC(=O)O
C#CCC(O)C(=C)CCC,CC[Si](Cl)(CC)CC
C=CCn1c(=O)ccc2c1cc(F)c[n+]2[O-],[O-][I+3]([O-])([O-])[O-]
CN(C)C(=O)CCl,Cc1c(-c2ccnn2-c2ccc(C#N)cc2)cn2c(=O)[nH]nc2c1-c1cccc(C(F)(F)F)c1
CCOC(=O)CN(CC(=O)OCC)c1ncc(C(C)=O)o1,[NH3+]O
CI,Cc1cnc(N2CCN(C(=O)c3ccc(N4C(=O)OC[C@H]4CO)cc3)CC2)c(C)c1
CC(N)=O,CCc1cnc(N2CCC([C@H]3C[C@H]3COCc3ccc(C#N)cc3)CC2)nc1
O=CC1CN(C(c2ccccc2)c2ccccc2)C1,[C-]#N
COC(=O)c1c[nH]c(=O)c(Cl)c1,O=C(O)C(F)(F)S(=O)(=O)F
CC(=O)N(C)C,CNC(=O)c1c(I)c(N)c(I)c(N(CCO)C(C)=O)c1I
CC1(C)CC(=O)CC(=O)C1,O=CCCl
CN,COC(=N[N+](=O)[O-])NCc1cnc(Cl)s1
CCOC(=O)CC(=O)C(=O)OCC,CNc1ccc(N)cc1C(=O)NN
CN(Cc1cc(Br)n(S(=O)(=O)c2cccnc2)c1)C(=O)OC(C)(C)C,OB(O)c1cccnc1Cl
C1COCCN1,Clc1ccnc2ccc(Br)cc12
CC(C)(C)O[Al](OC(C)(C)C)OC(C)(C)C,Cc1ccc(CBr)cc1C(=O)Cl
CC(C)(C)OC(=O)NCCN,Nc1nc(OCc2ccc(CNC(=O)C(F)(F)F)cc2)c2nc(C(=O)O)cnc2n1
COC(=O)c1ccc(OC)c2oc(CBr)cc12,O=C([O-])[O-]
CC(C)(C)O,Cc1cc(O)c(C(=O)O)c(=O)o1
CCOC(/C=C/B1OC(C)(C)C(C)(C)O1)OCC,Nc1ncc(I)c2scc(Br)c12
CC1(N2CCC(N3C(=O)N[C@H]4CCCC[C@@H]43)CC2)CCNC1,O=C(Cl)OCCF
Cc1ccc(S(=O)(=O)Cl)cc1,O=C(O)c1ccc2[nH]cc(I)c2n1
CCO,CCOC(=O)C1(C(C)(C)O)C=CNO1
CC(=O)N1CCN(C(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)CC1,Sc1ccc(Cl)cc1Cl
NC(CCCc1ccccc1)C(=O)O,O=S(=O)(Cl)c1ccc(F)cc1
O=[N+]([O-])O,Oc1cc2nnnn2c2ncccc12
Cc1cc(CC=O)ccc1OCCNc1ncnc(C)c1Cl,NO
COc1ccc(CNc2ccc3c(CCl)nn(Cc4ccc(OC)cc4)c3n2)cc1,O=c1[nH]ccc(C(F)(F)F)c1Oc1cc(Cl)cc(Cl)c1
CCCC[Sn](CCCC)(CCCC)c1cc(Cl)nc(C)n1,C[S-]
CC(C)=O,CCOc1cc(C=O)ccc1O
COc1cccc(N)c1N,N#CBr
CCCCNc1cccc2c(-c3ccnc([S-])n3)c(-c3ccc(F)cc3)nn12,CI
C/C=C/C(=O)O,COc1cc(O)ccc1Cl
C1COCCN1,Nc1ncnc2c1c(-c1ccc(O)cc1)nn2Cc1nc2cccc(C#CCCCC(=O)O)c2c(=O)n1Cc1ccccc1Cl
COC(=O)C1(CCCCBr)CCCC1,C[S-]
CB1OB(C)OB(C)O1,CC1C(=O)NN=C2COc3cc(Br)c(C4CCN(C(=O)OC(C)(C)C)CC4)cc3N21
O=C(Cl)OCc1ccccc1,O=C(O)C1CCNCC1
Cn1cnc(C(=O)N(CCO)C2CCOCC2)c1,Oc1ccc(Cl)cc1
Cc1ccc2c(-c3cnc4[nH]cc(C(=O)O)c4n3)nn(C)c2c1,N#CC1(N)CC1
Cc1ccc(N)cc1C,Cn1c(-c2c(Cl)cccc2Cl)nc2cc(C(=O)O)ccc21
C(OCC1CO1)C1CO1,OCc1ccccc1
Cc1cc(O)cc(O)c1,Cc1ccc(C)c(S(=O)(=O)Cl)c1
CCOC(=O)C(Cc1ccc2[nH]cc(C)c2c1)OCC,Cc1oc(-c2ccc(C(C)C)cc2)nc1CCl
NCc1ccccc1,O=C(c1ccccc1)C(F)CC(F)N1CCC(O)(c2ccc(Cl)cc2)CC1
Nc1cc(S(N)(=O)=O)c2ccccc2c1N,O=C(O)C(=O)O
BrCCBr,COc1cc(C=O)ccc1O
CC(C)(C)OC(=O)N1CCN(c2ccc3c(-c4ccc(O)cc4)cn(-c4ccncc4)c3c2)CC1,CN(C)CCCl
COCOc1cccnc1C(=O)c1ccc(F)c(Br)c1,[C-]#N
COC(=O)c1c(CBr)sc2c1c(=O)n(C)c(=O)n2CC(C)C,Cc1nc(Cl)c(Cl)[nH]1
CCC(C)O,C[Si](C)(C)CCOCn1ncc2c(c(CBr)c(Br)n2COCC[Si](C)(C)C)c1=O
COC(=O)c1ccc(SC)c(N)c1,O=N[O-]
O=C1CCCC(=O)C1,O=CCCl
CC(=O)OC(C)=O,Cc1cc(O)ccc1Cl
CSc1ccc(C(O)(CC2CCC2)c2cc3cc(F)cnc3n2S(=O)(=O)c2ccccc2)cc1,[O-][I+3]([O-])([O-])[O-]
CC(C)(C)CC(C)(C)c1ccc(O)cc1,O=[N+]([O-])c1ccc(F)cc1
BrCCCCCCn1c(-c2ccccc2)nc(-c2ccccc2)c1-c1ccccc1,[C-]#N
CC(C)(C)OC(=O)NC1(c2ccc(-c3nc4c(cc3-c3ccccc3)NC(=O)CCN4)cc2)CCC1,CI
CC1NC(=O)NC1=O,ClCOCc1ccccc1
Cc1cc2cc(N)ccc2[nH]1,Fc1cnc(Cl)nc1Cl
C1COCCO1,FC(F)(F)CN1C(=S)NC(c2ccccc2)c2cc(Cl)ccc21
CC1CCC(C(C)(C)c2ccccc2)C(O)C1,CCC(=O)C(=O)O
Cc1cc(F)ncc1C(=O)N1CCN(c2ncc(C3CC3)cc2C2CC2)CC1,O=C1NCCO1
C=CCC(c1ccccc1)c1ccccc1,O=C(OO)c1cccc(Cl)c1
BrC(Br)(Br)Br,CCN(CC)C(=O)c1ccc(C(CCO)c2cccc(OC)c2)cc1
CCOC(=O)CP(=O)(OCC)OCC,O=Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12
COC(=O)CBr,Oc1ccc(OC(F)(F)F)cc1
COC(=O)NC(=S)NC1=CC=C(C(=O)c2ccccc2)C(Cc2ccccc2[N+](=O)[O-])C1=N,COS(=O)OC
CC1(C)NC(=S)NC1=O,CN(C)c1ccccc1CCl
C#CCBr,CCOC(=O)c1c[nH]cc1C(F)(F)F
CC(C)(C)OC(=O)N1CCC(/C=C/B2OC(C)(C)C(C)(C)O2)CC1,COc1ccc2c(c1I)OCC2=O
C=CCO[C@H]1O[C@H](CO)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,Cc1ccc(S(=O)(=O)Cl)cc1
CSCc1ccc(Br)cn1,[O-][I+3]([O-])([O-])[O-]
NCC(=O)O,O=C(Cl)c1cccc([N+](=O)[O-])c1
CC(C)(C)[Si](C)(C)Cl,O=Cc1ccc(O)cc1
